subject_length,body_length,total_length,word_count,avg_word_length,unique_word_ratio,uppercase_ratio,digit_ratio,punctuation_ratio,exclamation_count,question_count,colon_count,url_count,email_count,phone_count,currency_symbol_count,attachment_hint,dear_greeting,contains_date_like,job_keyword_count,candidate_keyword_count,recruiting_keyword_count,compensation_keyword_count,business_keyword_count,support_keyword_count,job_signal_ratio,non_job_signal_ratio,is_job
45.0,354.0,400.0,61.0,5.39344262295082,0.7540983606557377,0.0486322188449848,0.0,0.0275,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04918032786885246,0
33.0,338.0,372.0,64.0,4.734375,0.75,0.026402640264026403,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.078125,0
33.0,295.0,329.0,55.0,4.872727272727273,0.8363636363636363,0.045454545454545456,0.0121580547112462,0.0243161094224924,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.12727272727272726,0
30.0,403.0,434.0,73.0,4.863013698630137,0.7397260273972602,0.028169014084507043,0.0,0.018433179723502304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0136986301369863,0.0273972602739726,0
34.0,282.0,317.0,52.0,4.961538461538462,0.75,0.0398406374501992,0.022082018927444796,0.025236593059936908,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.019230769230769232,0
28.0,394.0,423.0,70.0,4.9,0.7857142857142857,0.04985337243401759,0.004728132387706856,0.026004728132387706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.12857142857142856,0
46.0,404.0,451.0,76.0,4.868421052631579,0.7368421052631579,0.02972972972972973,0.0,0.015521064301552107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0
46.0,397.0,444.0,70.0,5.257142857142857,0.7571428571428571,0.03571428571428571,0.009009009009009009,0.018018018018018018,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.1,0
23.0,342.0,366.0,58.0,5.172413793103448,0.8620689655172413,0.04,0.0,0.02459016393442623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05172413793103448,0
44.0,429.0,474.0,80.0,4.8,0.725,0.06544502617801047,0.004219409282700422,0.02109704641350211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0125,0.0625,0
27.0,519.0,547.0,93.0,4.709677419354839,0.7311827956989247,0.03695150115473441,0.009140767824497258,0.031078610603290677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.06451612903225806,0
37.0,266.0,304.0,43.0,5.8604651162790695,0.813953488372093,0.051587301587301584,0.0,0.03289473684210526,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06976744186046512,0
35.0,440.0,476.0,84.0,4.464285714285714,0.7857142857142857,0.08379888268156424,0.03571428571428571,0.037815126050420166,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.05952380952380952,0
46.0,588.0,635.0,105.0,4.9714285714285715,0.7333333333333333,0.02490421455938697,0.0,0.014173228346456693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.009523809523809525,0.02857142857142857,0
33.0,343.0,377.0,64.0,4.765625,0.84375,0.046511627906976744,0.010610079575596816,0.026525198938992044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.078125,0
30.0,446.0,477.0,85.0,4.4941176470588236,0.7058823529411765,0.09264305177111716,0.031446540880503145,0.027253668763102725,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.011764705882352941,0.023529411764705882,0
